id,key_signature,chord_progressions,pitch_min,pitch_max,num_measures,bpm,time_signature,sample_rhythm,min_velocity,max_velocity,instruments
BP_CR1_02743,C major,"['D', 'D', 'G', 'D', 'D', 'G', 'G', 'G', 'G', 'G', 'G', 'G', 'G', 'G', 'G', 'G', 'G', 'G', 'G', 'G', 'G', 'G', 'G', 'G', 'G', 'G']",43,50,5,120.0,4/4,"[Fraction(1, 3), Fraction(1, 3), 0.75, 1.5, Fraction(2, 3), Fraction(1, 3), 1.0, 1.0, 1.0, 0.5, 0.75, 0.25, 0.25, Fraction(2, 3), 1.25, 0.5, 1.0, 0.75, 0.25, 0.75, 1.25, 1.5, 0.5]",55,55,['Steinway Grand Piano']
BP_CR1_02177,C# minor,"['G#', 'E', 'G#', 'E', 'E.F#', 'F#', 'F#', 'E', 'E', 'E', 'E', 'E', 'E-', 'C#', 'C#', 'C#', 'E', 'E', 'E-.E', 'E-', 'C#', 'C#', 'G#', 'C#', 'C#']",64,78,3,120.0,12/8,"[3.0, 0.5, 2.25, 0.5, 1.0, 0.75, 0.5, 1.5, 0.5, Fraction(1, 3), Fraction(2, 3), Fraction(1, 3), Fraction(1, 6), 0.75, Fraction(1, 3), 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5]",61,78,['Steinway Grand Piano']
BP_CR1_02028,E major,"['B', 'B', 'B', 'F#', 'F#.B', 'B', 'B', 'B', 'B', 'B', 'B', 'B.B', 'B', 'B', 'B', 'F#', 'F#', 'F#', 'B.B', 'B', 'B', 'B', 'B.B', 'B', 'B', 'F#', 'F#', 'B', 'B.B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B.B', 'B', 'B', 'B', 'B.B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B.B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'C#', 'G#', 'C#', 'G#.B', 'F#', 'E-', 'C#', 'B', 'G#.B.C#']",47,71,6,120.0,4/4,"[0.5, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25, Fraction(1, 3), Fraction(1, 3), Fraction(1, 3), 0.25, Fraction(1, 3), 0.25, 0.25, 0.25, 0.25, Fraction(1, 3), Fraction(1, 3), 0.25, Fraction(1, 3), 0.5, Fraction(1, 3), 0.25, Fraction(1, 3), 0.5, 0.25, Fraction(1, 3), 0.5, 0.5, 0.25, Fraction(1, 3), 0.25, Fraction(1, 3), 0.25, 0.5, 0.25, 0.25, Fraction(1, 3), Fraction(1, 3), 0.25, 0.25, 0.25, 0.25, 0.25, 0.25, Fraction(1, 3), 0.25, 0.25, 0.25, 0.75, Fraction(2, 3), 0.25, 0.75, 0.25, 0.25, 0.5, 1.0, 1.0, 0.25]",47,57,['Steinway Grand Piano']
BP_CR2_00121,A- major,"['E-', 'D', 'C', 'C.E-', 'E-', 'C.D', 'B-', 'C', 'B-', 'B-', 'B-', 'C.D', 'B-', 'B-', 'B-', 'C.D', 'C', 'B-', 'C', 'C', 'E-', 'E-', 'E-', 'E-.F', 'F', 'C', 'E-', 'E-', 'E-', 'E-', 'E-', 'C', 'C.E-', 'E-', 'D.E-', 'D', 'C', 'C.D', 'D', 'C', 'C', 'D', 'C.D', 'C', 'C.D', 'D', 'C.D', 'C', 'B-', 'B-']",70,77,12,120.0,4/4,"[Fraction(2, 3), Fraction(1, 3), 0.75, Fraction(1, 3), 0.5, 0.5, 1.0, 4.0, 4.0, 0.5, 0.25, Fraction(2, 3), Fraction(8, 3), 0.25, 0.5, 1.0, 0.5, 0.75, 0.75, 2.5, 1.75, 1.0, 0.75, 0.5, 0.75, 0.75, 4.0, 0.25, 1.25, 0.5, Fraction(2, 3), 0.25, 0.5, 0.75, Fraction(1, 3), Fraction(1, 3), 0.25, 1.5, 0.25, 1.0, 0.25, Fraction(13, 6)]",70,70,[]
BM_CR1_00114,A minor,"['E', 'E', 'E', 'B', 'A.B', 'A', 'B', 'A', 'C', 'A.C', 'A', 'A', 'A', 'B', 'E-', 'E', 'E-', 'E', 'B', 'A', 'B', 'A', 'D', 'B', 'A.B', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'B', 'A', 'B', 'A.B', 'A', 'B', 'A', 'B', 'E', 'E', 'E', 'E', 'A.B', 'B', 'A', 'A', 'A', 'A.B', 'A.B', 'A', 'B', 'A.B', 'A.B', 'A', 'A.B', 'B', 'E', 'E', 'B', 'A', 'E', 'E', 'E-.E', 'E', 'E', 'F#', 'E.F#', 'E', 'D.E', 'D', 'E', 'E.G', 'G', 'E', 'E', 'B', 'A', 'B', 'E', 'E', 'E-.E', 'E-', 'E', 'D', 'B', 'A', 'B', 'A.B', 'A', 'B', 'E', 'E.F#', 'E', 'E', 'E', 'E', 'E', 'G', 'E.G', 'E', 'D.E', 'C', 'A.C', 'A', 'B', 'B', 'D', 'D', 'B', 'A.B', 'A', 'B', 'A', 'A', 'A']",69,79,9,80.0,12/8,"[0.75, 0.25, 0.5, 0.25, 0.5, 0.75, 0.25, 0.25, 0.5, 0.5, Fraction(1, 3), 0.25, Fraction(1, 3), Fraction(2, 3), 0.25, 0.75, 0.25, 0.5, 0.5, 0.75, 0.25, 0.5, 0.25, 0.75, Fraction(1, 3), 0.5, 0.25, 0.25, 0.25, 0.25, 0.75, 0.25, 0.25, Fraction(1, 3), Fraction(1, 3), 0.25, Fraction(1, 3), Fraction(1, 3), Fraction(1, 3), Fraction(1, 3), 0.25, Fraction(2, 3), Fraction(1, 3), 0.25, 0.25, 0.5, 0.5, 0.25, 0.25, 0.5, 0.5, Fraction(1, 3), Fraction(1, 3), Fraction(1, 3), Fraction(1, 3), Fraction(1, 3), 0.75, 0.25, Fraction(1, 3), 0.5, 0.5, 0.25, 0.25, 1.0, Fraction(2, 3), 0.5, 0.25, 1.0, 0.5, Fraction(1, 3), 0.5, 0.5, 0.25, 1.0, 0.25, Fraction(1, 3), 0.25, 1.0, 0.75, Fraction(1, 3), Fraction(2, 3), 1.0, 0.25, Fraction(1, 3), 0.25, 0.25, 0.5, 0.75, 0.25, 1.0, 0.5, Fraction(1, 3), 0.25, 1.0, 0.5, 1.5, 1.0, 0.75, 0.25]",72,127,['Steinway Grand Piano']
BP_CR1_02171,C# minor,"['G#', 'C#', 'C#', 'C#', 'A.C', 'C#', 'G#.C#', 'G#', 'G#', 'C#', 'C#', 'G#', 'C#', 'C#.E', 'E', 'E.F#', 'E', 'E-', 'E-.G#', 'G#', 'E', 'E-', 'C#.E-', 'C#', 'C#']",68,80,3,120.0,12/8,"[Fraction(5, 3), Fraction(2, 3), 0.25, 1.25, 1.5, Fraction(1, 3), 0.75, Fraction(1, 3), 0.25, Fraction(1, 3), 0.25, 1.0, 0.5, Fraction(17, 12), 0.5, Fraction(1, 3), 1.0, Fraction(2, 3), Fraction(1, 3), 0.75]",54,81,['Steinway Grand Piano']
BP_CR1_02900,B- minor,"['F', 'E-', 'C', 'C', 'C#', 'C#', 'E-', 'E-', 'F#', 'E-.F#', 'E-', 'C#', 'C', 'C']",60,66,5,120.0,12/8,"[Fraction(14, 3), 1.0, Fraction(1, 3), 1.0, 5.0, 1.5, 4.5, 0.5, 0.25, 3.25, 0.5, 1.0, 4.5]",56,127,['Steinway Grand Piano']
BP_CR2_00619,D minor,"['A', 'G', 'F', 'E', 'D.E', 'D', 'D', 'D', 'D', 'D', 'D', 'F', 'F.G', 'G', 'A', 'D', 'G.D', 'G', 'A', 'G.A', 'G', 'A', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'A.D', 'A', 'A', 'A', 'A', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'A', 'A', 'A']",62,74,4,120.0,4/4,"[0.25, 0.5, 0.25, Fraction(1, 3), Fraction(1, 3), 0.25, 0.75, Fraction(1, 3), Fraction(1, 3), 0.25, Fraction(1, 3), Fraction(1, 12), Fraction(1, 3), Fraction(1, 3), Fraction(1, 3), 0.5, 0.25, Fraction(1, 3), 0.75, Fraction(1, 3), 0.25, Fraction(1, 3), Fraction(1, 12), Fraction(1, 3), Fraction(1, 3), 0.25, Fraction(1, 3), 0.25, Fraction(1, 3), 0.25, Fraction(1, 3), Fraction(1, 3), Fraction(1, 3), Fraction(1, 3), Fraction(1, 3), 0.25]",93,127,['Steinway Grand Piano']
BP_CR2_00495,B- minor,"['E-', 'F', 'F#', 'G#', 'B-', 'B-.C#', 'C#', 'C#', 'F', 'E-', 'E-', 'C#', 'B-', 'C#', 'B-', 'G#', 'B-', 'C#', 'C#.E-', 'E-', 'F', 'G#', 'G', 'E-', 'B-', 'B-', 'B-', 'B-', 'B-', 'C', 'C.C#', 'C#', 'F', 'G#', 'C#', 'C#', 'C', 'B-.C', 'B-', 'B-', 'B-', 'B-.F', 'F', 'B-', 'B-', 'B-', 'C', 'C#']",46,73,7,120.0,4/4,"[0.5, 0.25, Fraction(1, 3), Fraction(1, 3), 1.0, 1.25, 0.75, 2.5, 0.25, 0.25, 0.25, 0.5, Fraction(1, 3), Fraction(1, 3), Fraction(1, 3), Fraction(1, 3), 0.25, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, Fraction(1, 3), Fraction(1, 3), 1.0, 0.5, 0.25, 0.25, 0.5, 0.75, 0.25, 0.5, 1.0, 1.0, 0.5, 0.5, 0.5, Fraction(1, 3), 0.5, Fraction(1, 3), 0.25]",71,127,['Steinway Grand Piano']
BM_CR2_03250,E minor,"['A', 'B', 'B', 'B', 'B', 'A', 'G.A', 'G', 'G', 'E', 'E.G', 'E', 'E', 'A', 'G', 'G', 'G', 'G.A', 'G.A', 'G', 'G', 'G.A', 'G.A', 'G', 'G', 'E', 'F#', 'E', 'E', 'E', 'E']",64,71,15,120.0,4/4,"[1.75, 2.25, 4.0, 4.0, 2.25, 0.5, Fraction(4, 3), 2.0, 0.25, 0.25, 2.0, 2.5, 0.25, 1.0, 4.0, 0.25, 1.25, 2.75, 0.25, 3.25, 0.75, 2.5, 0.25, 0.25, 1.75, 4.0, 4.0, Fraction(23, 12)]",64,127,['Steinway Grand Piano']
